Mes;Incidencia;Farola;Sticker;Tecnologia;Potencia;Tipo;Crucero;Via;Descripción;Fecha Asignación;Fecha Finalización;Tiempo (Días);Operario;Estado;Latitud;Longitud
Mayo;2067261;1630431;068457;LED;74,1;PRE;CARRERA;CALLE;Se ha realizado el mantenimiento preventivo sobre la farola: 1630431;30/05/2026;30/05/2026;0;cuad59;FINALIZADA;3,030436;-75,250731
Mayo;2058280;1630453;053100;LED;37;PRE;46;7;Se ha realizado el mantenimiento preventivo sobre la farola: 1630453;21/05/2026;21/05/2026;0;cuad59;FINALIZADA;2,953910049;-75,290339
Mayo;2062658;1631564;031992;LED;92,6;PRE;CARRERA;CALLE;Se ha realizado el mantenimiento preventivo sobre la farola: 1631564;26/05/2026;28/05/2026;2;cuad63;FINALIZADA;2,930211201;-75,29339327
Mayo;2046331;1633482;007705;LED;27,8;PRE;9;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1633482;12/05/2026;12/05/2026;0;cuad56;FINALIZADA;2,927295109;-75,29193696
Mayo;2046328;1633484;007704;LED;27,8;PRE;9;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1633484;12/05/2026;12/05/2026;0;cuad56;FINALIZADA;2,927810082;-75,29220399
Mayo;2048025;1633485;008389;LED;27,8;PRE;9;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1633485;13/05/2026;13/05/2026;0;cuad54;FINALIZADA;2,927177084;-75,29214002
Mayo;2054331;1634750;032911;LED;27,8;PRE;78;7;Se ha realizado el mantenimiento preventivo sobre la farola: 1634750;19/05/2026;19/05/2026;0;cuad59;FINALIZADA;2,971802073;-75,28568497
Mayo;2065116;1634782;069639;LED;60,2;PRE;77A;7;Se ha realizado el mantenimiento preventivo sobre la farola: 1634782;27/05/2026;28/05/2026;1;cuad63;FINALIZADA;2,971309;-75,285794
Mayo;2067187;1634877;068427;LED;74,1;PRE;2;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1634877;30/05/2026;30/05/2026;0;cuad59;FINALIZADA;3,035212;-75,249428
Mayo;2066765;1634878;068432;LED;74,1;PRE;2;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1634878;29/05/2026;29/05/2026;0;cuad59;FINALIZADA;3,035745;-75,249744
Mayo;2066764;1634904;067981;LED;74,1;PRE;100;7;Se ha realizado el mantenimiento preventivo sobre la farola: 1634904;29/05/2026;29/05/2026;0;cuad59;FINALIZADA;2,985832;-75,275704
Mayo;2058613;1634925;034530;LED;46,3;PRE;70;1;Se ha realizado el mantenimiento preventivo sobre la farola: 1634925;21/05/2026;23/05/2026;2;cuad63;FINALIZADA;2,96670405;-75,29552301
Mayo;2067168;1634997;036763;LED;74,1;PRE;76;3;Se ha realizado el mantenimiento preventivo sobre la farola: 1634997;30/05/2026;30/05/2026;0;cuad59;FINALIZADA;2,97101107;-75,28856199
Mayo;2066325;1635047;027451;LED;60,2;PRE;76A;7;Se ha realizado el mantenimiento preventivo sobre la farola: 1635047;28/05/2026;28/05/2026;0;cuad63;FINALIZADA;2,970355097;-75,28605804
Mayo;2067158;1635063;028351;LED;74,1;PRE;CARRERA;CALLE;Se ha realizado el mantenimiento preventivo sobre la farola: 1635063;30/05/2026;30/05/2026;0;cuad59;FINALIZADA;3,011084092;-75,26105204
Mayo;2067162;1635064;028352;LED;74,1;PRE;CARRERA;CALLE;Se ha realizado el mantenimiento preventivo sobre la farola: 1635064;30/05/2026;30/05/2026;0;cuad59;FINALIZADA;3,011281084;-75,26088804
Mayo;2066379;1635068;028313;LED;74,1;PRE;CARRERA;CALLE;Se ha realizado el mantenimiento preventivo sobre la farola: 1635068;28/05/2026;29/05/2026;1;cuad55;FINALIZADA;3,01209104;-75,26021303
Mayo;2066372;1635069;028316;LED;74,1;PRE;CARRERA;CALLE;Se ha realizado el mantenimiento preventivo sobre la farola: 1635069;28/05/2026;29/05/2026;1;cuad55;FINALIZADA;3,012294094;-75,26004498
Mayo;2067151;1635070;028302;LED;74,1;PRE;CARRERA;CALLE;Se ha realizado el mantenimiento preventivo sobre la farola: 1635070;30/05/2026;30/05/2026;0;cuad59;FINALIZADA;3,012486109;-75,25988799
Mayo;2067167;1635071;028400;LED;74,1;PRE;CARRERA;CALLE;Se ha realizado el mantenimiento preventivo sobre la farola: 1635071;30/05/2026;30/05/2026;0;cuad59;FINALIZADA;3,012681109;-75,25973002
Mayo;2067154;1635072;028306;LED;74,1;PRE;CARRERA;CALLE;Se ha realizado el mantenimiento preventivo sobre la farola: 1635072;30/05/2026;30/05/2026;0;cuad59;FINALIZADA;3,012894117;-75,25955198
Mayo;2066683;1635073;028315;LED;74,1;PRE;CARRERA;CALLE;Se ha realizado el mantenimiento preventivo sobre la farola: 1635073;29/05/2026;29/05/2026;0;cuad55;FINALIZADA;3,013339042;-75,25919401
Mayo;2066381;1635074;028481;LED;74,1;PRE;CARRERA;CALLE;Se ha realizado el mantenimiento preventivo sobre la farola: 1635074;28/05/2026;29/05/2026;1;cuad55;FINALIZADA;3,013529065;-75,25903999
Mayo;2066380;1635075;028396;LED;74,1;PRE;CARRERA;CALLE;Se ha realizado el mantenimiento preventivo sobre la farola: 1635075;28/05/2026;29/05/2026;1;cuad55;FINALIZADA;3,013698099;-75,25888903
Mayo;2066678;1635076;028500;LED;74,1;PRE;CARRERA;CALLE;Se ha realizado el mantenimiento preventivo sobre la farola: 1635076;29/05/2026;29/05/2026;0;cuad55;FINALIZADA;3,013952096;-75,25868499
Mayo;2066667;1635077;028472;LED;74,1;PRE;CARRERA;CALLE;Se ha realizado el mantenimiento preventivo sobre la farola: 1635077;29/05/2026;29/05/2026;0;cuad55;FINALIZADA;3,014100048;-75,25853996
Mayo;2066700;1635078;028456;LED;74,1;PRE;CARRERA;CALLE;Se ha realizado el mantenimiento preventivo sobre la farola: 1635078;29/05/2026;29/05/2026;0;cuad55;FINALIZADA;3,014331056;-75,25837804
Mayo;2066386;1635079;028326;LED;74,1;PRE;CARRERA;CALLE;Se ha realizado el mantenimiento preventivo sobre la farola: 1635079;28/05/2026;29/05/2026;1;cuad55;FINALIZADA;3,014580081;-75,25815897
Mayo;2066688;1635080;028499;LED;74,1;PRE;CARRERA;CALLE;Se ha realizado el mantenimiento preventivo sobre la farola: 1635080;29/05/2026;29/05/2026;0;cuad55;FINALIZADA;3,014820054;-75,25796096
Mayo;2067165;1635081;028354;LED;74,1;PRE;CARRERA;CALLE;Se ha realizado el mantenimiento preventivo sobre la farola: 1635081;30/05/2026;30/05/2026;0;cuad59;FINALIZADA;3,013111103;-75,259386
Mayo;2049504;1635263;019803;LED;37;PRE;25;16;Se ha realizado el mantenimiento preventivo sobre la farola: 1635263;14/05/2026;14/05/2026;0;cuad56;FINALIZADA;2,942375053;-75,28240696
Mayo;2048978;1635267;003396;LED;27,8;PRE;21;14;Se ha realizado el mantenimiento preventivo sobre la farola: 1635267;13/05/2026;14/05/2026;1;cuad63;FINALIZADA;2,940111045;-75,28314003
Mayo;2048006;1635268;011779;LED;27,8;PRE;21;14;Se ha realizado el mantenimiento preventivo sobre la farola: 1635268;13/05/2026;13/05/2026;0;cuad54;FINALIZADA;2,940241111;-75,28289801
Mayo;2048022;1635269;025538;LED;27,8;PRE;21;14;Se ha realizado el mantenimiento preventivo sobre la farola: 1635269;13/05/2026;13/05/2026;0;cuad54;FINALIZADA;2,940273094;-75,28271499
Mayo;2048975;1635270;003353;LED;27,8;PRE;21;CALLE 21;Se ha realizado el mantenimiento preventivo sobre la farola: 1635270;13/05/2026;14/05/2026;1;cuad63;FINALIZADA;2,9404041;-75,28240856
Mayo;2048996;1635273;007152;LED;27,8;PRE;21;14;Se ha realizado el mantenimiento preventivo sobre la farola: 1635273;13/05/2026;14/05/2026;1;cuad63;FINALIZADA;2,939760052;-75,28408901
Mayo;2048973;1635278;003341;LED;27,8;PRE;21;14;Se ha realizado el mantenimiento preventivo sobre la farola: 1635278;13/05/2026;19/05/2026;6;cuad63;FINALIZADA;2,93996407;-75,28405504
Mayo;2047850;1635283;004852;LED;27,8;PRE;20;9;Se ha realizado el mantenimiento preventivo sobre la farola: 1635283;13/05/2026;13/05/2026;0;cuad54;FINALIZADA;2,939436113;-75,28501999
Mayo;2047984;1635284;007064;LED;27,8;PRE;20;9;Se ha realizado el mantenimiento preventivo sobre la farola: 1635284;13/05/2026;13/05/2026;0;cuad54;FINALIZADA;2,939461116;-75,28489204
Mayo;2047844;1635285;004545;LED;27,8;PRE;20;9;Se ha realizado el mantenimiento preventivo sobre la farola: 1635285;13/05/2026;13/05/2026;0;cuad54;FINALIZADA;2,939521056;-75,28469697
Mayo;2050386;1635286;026474;LED;60,2;PRE;20;9;Se ha realizado el mantenimiento preventivo sobre la farola: 1635286;14/05/2026;15/05/2026;1;cuad59;FINALIZADA;2,939827103;-75,28509603
Mayo;2048977;1635343;018872;LED;27,8;PRE;25C;7;Se ha realizado el mantenimiento preventivo sobre la farola: 1635343;13/05/2026;14/05/2026;1;cuad63;FINALIZADA;2,94207309;-75,29003197
Mayo;2048974;1635344;018887;LED;27,8;PRE;25C;7;Se ha realizado el mantenimiento preventivo sobre la farola: 1635344;13/05/2026;14/05/2026;1;cuad63;FINALIZADA;2,94225909;-75,29005298
Mayo;2048976;1635345;018879;LED;27,8;PRE;25C;7;Se ha realizado el mantenimiento preventivo sobre la farola: 1635345;13/05/2026;14/05/2026;1;cuad63;FINALIZADA;2,94255809;-75,29006296
Mayo;2046226;1635597;018756;LED;27,8;PRE;10;6;Se ha realizado el mantenimiento preventivo sobre la farola: 1635597;12/05/2026;12/05/2026;0;cuad56;FINALIZADA;2,929191067;-75,28816203
Mayo;2046179;1635602;009514;LED;27,8;PRE;10;5;Se ha realizado el mantenimiento preventivo sobre la farola: 1635602;12/05/2026;12/05/2026;0;cuad56;FINALIZADA;2,9290121;-75,28912356
Mayo;2050364;1635604;026636;LED;60,2;PRE;9;3;Se ha realizado el mantenimiento preventivo sobre la farola: 1635604;14/05/2026;15/05/2026;1;cuad59;FINALIZADA;2,928007;-75,291375
Mayo;2050363;1635605;026693;LED;60,2;PRE;9;3;Se ha realizado el mantenimiento preventivo sobre la farola: 1635605;14/05/2026;15/05/2026;1;cuad59;FINALIZADA;2,928235;-75,291463
Mayo;2046274;1635606;007775;LED;27,8;PRE;10;3;Se ha realizado el mantenimiento preventivo sobre la farola: 1635606;12/05/2026;12/05/2026;0;cuad56;FINALIZADA;2,928414109;-75,29131502
Mayo;2046262;1635607;007778;LED;27,8;PRE;10;3;Se ha realizado el mantenimiento preventivo sobre la farola: 1635607;12/05/2026;12/05/2026;0;cuad56;FINALIZADA;2,928491084;-75,29102503
Mayo;2046193;1635619;018755;LED;27,8;PRE;9;7;Se ha realizado el mantenimiento preventivo sobre la farola: 1635619;12/05/2026;12/05/2026;0;cuad56;FINALIZADA;2,929476065;-75,28738996
Mayo;2046192;1635620;018788;LED;27,8;PRE;10;6;Se ha realizado el mantenimiento preventivo sobre la farola: 1635620;12/05/2026;12/05/2026;0;cuad56;FINALIZADA;2,929331037;-75,28740702
Mayo;2046181;1635623;018710;LED;27,8;PRE;10;6;Se ha realizado el mantenimiento preventivo sobre la farola: 1635623;12/05/2026;12/05/2026;0;cuad56;FINALIZADA;2,929224054;-75,28794302
Mayo;2046186;1635624;018762;LED;27,8;PRE;10;7;Se ha realizado el mantenimiento preventivo sobre la farola: 1635624;12/05/2026;12/05/2026;0;cuad56;FINALIZADA;2,928789093;-75,28717896
Mayo;2046230;1635627;018758;LED;27,8;PRE;8;7;Se ha realizado el mantenimiento preventivo sobre la farola: 1635627;12/05/2026;12/05/2026;0;cuad56;FINALIZADA;2,928383115;-75,28698602
Mayo;2047933;1635628;018162;LED;27,8;PRE;9;7;Se ha realizado el mantenimiento preventivo sobre la farola: 1635628;13/05/2026;13/05/2026;0;cuad54;FINALIZADA;2,928768075;-75,28693996
Mayo;2046194;1635629;018739;LED;27,8;PRE;11;7;Se ha realizado el mantenimiento preventivo sobre la farola: 1635629;12/05/2026;12/05/2026;0;cuad56;FINALIZADA;2,930523081;-75,28769599
Mayo;2047927;1635636;007264;LED;27,8;PRE;10;7;Se ha realizado el mantenimiento preventivo sobre la farola: 1635636;13/05/2026;13/05/2026;0;cuad54;FINALIZADA;2,930032096;-75,28737004
Mayo;2047940;1635637;007144;LED;27,8;PRE;10;7;Se ha realizado el mantenimiento preventivo sobre la farola: 1635637;13/05/2026;13/05/2026;0;cuad54;FINALIZADA;2,929804047;-75,28727199
Mayo;2047959;1635638;018493;LED;27,8;PRE;10;7;Se ha realizado el mantenimiento preventivo sobre la farola: 1635638;13/05/2026;13/05/2026;0;cuad54;FINALIZADA;2,929568036;-75,28717897
Mayo;2048992;1635646;038701;LED;27,8;PRE;9;1;Se ha realizado el mantenimiento preventivo sobre la farola: 1635646;13/05/2026;14/05/2026;1;cuad63;FINALIZADA;2,927157046;-75,29437304
Mayo;2048994;1635647;038703;LED;27,8;PRE;9;1;Se ha realizado el mantenimiento preventivo sobre la farola: 1635647;13/05/2026;14/05/2026;1;cuad63;FINALIZADA;2,926944037;-75,29419301
Mayo;2048993;1635648;038718;LED;27,8;PRE;9;1;Se ha realizado el mantenimiento preventivo sobre la farola: 1635648;13/05/2026;14/05/2026;1;cuad63;FINALIZADA;2,926704061;-75,29404502
Mayo;2048995;1635649;038715;LED;27,8;PRE;9;1;Se ha realizado el mantenimiento preventivo sobre la farola: 1635649;13/05/2026;14/05/2026;1;cuad63;FINALIZADA;2,926484071;-75,29392097
Mayo;2048991;1635651;038720;LED;27,8;PRE;11;1;Se ha realizado el mantenimiento preventivo sobre la farola: 1635651;13/05/2026;14/05/2026;1;cuad63;FINALIZADA;2,928002058;-75,29495698
Mayo;2048990;1635652;069974;LED;27,8;PRE;11;1;Se ha realizado el mantenimiento preventivo sobre la farola: 1635652;13/05/2026;14/05/2026;1;cuad63;FINALIZADA;2,927918036;-75,29486598
Mayo;2048987;1635655;016291;LED;27,8;PRE;11;1;Se ha realizado el mantenimiento preventivo sobre la farola: 1635655;13/05/2026;19/05/2026;6;cuad63;FINALIZADA;2,928704043;-75,29552
Mayo;2048970;1635656;010732;LED;27,8;PRE;11;1;Se ha realizado el mantenimiento preventivo sobre la farola: 1635656;13/05/2026;14/05/2026;1;cuad63;FINALIZADA;2,928416036;-75,29533897
Mayo;2048986;1635657;016229;LED;27,8;PRE;11;1;Se ha realizado el mantenimiento preventivo sobre la farola: 1635657;13/05/2026;14/05/2026;1;cuad63;FINALIZADA;2,928186102;-75,295189
Mayo;2046301;1635658;007726;LED;27,8;PRE;14;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1635658;12/05/2026;12/05/2026;0;cuad56;FINALIZADA;2,931862046;-75,293879
Mayo;2049495;1635659;021287;LED;37;PRE;14;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1635659;14/05/2026;21/05/2026;7;cuad56;FINALIZADA;2,931532044;-75,29376301
Mayo;2046334;1635661;007414;LED;27,8;PRE;14;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1635661;12/05/2026;12/05/2026;0;cuad56;FINALIZADA;2,932354108;-75,29388596
Mayo;2046306;1635662;007420;LED;27,8;PRE;14;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1635662;12/05/2026;12/05/2026;0;cuad56;FINALIZADA;2,93261509;-75,29397197
Mayo;2046333;1635665;008674;LED;27,8;PRE;13;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1635665;12/05/2026;12/05/2026;0;cuad56;FINALIZADA;2,930715081;-75,293505
Mayo;2046287;1635666;007799;LED;27,8;PRE;13;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1635666;12/05/2026;12/05/2026;0;cuad56;FINALIZADA;2,93044505;-75,29342601
Mayo;2050346;1635668;023549;LED;46,3;PRE;11;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1635668;14/05/2026;15/05/2026;1;cuad59;FINALIZADA;2,928901042;-75,292601
Mayo;2046316;1635669;007792;LED;27,8;PRE;10;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1635669;12/05/2026;12/05/2026;0;cuad56;FINALIZADA;2,928706108;-75,29249198
Mayo;2048971;1635670;007427;LED;27,8;PRE;11;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1635670;13/05/2026;19/05/2026;6;cuad63;FINALIZADA;2,92937003;-75,292967
Mayo;2047870;1635672;008429;LED;27,8;PRE;14;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1635672;13/05/2026;13/05/2026;0;cuad54;FINALIZADA;2,931536068;-75,29359699
Mayo;2047896;1635673;008442;LED;27,8;PRE;14;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1635673;13/05/2026;13/05/2026;0;cuad54;FINALIZADA;2,931862109;-75,29363901
Mayo;2047999;1635676;007727;LED;27,8;PRE;14;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1635676;13/05/2026;13/05/2026;0;cuad54;FINALIZADA;2,931027046;-75,29340799
Mayo;2047954;1635680;011898;LED;27,8;PRE;12;5;Se ha realizado el mantenimiento preventivo sobre la farola: 1635680;13/05/2026;13/05/2026;0;cuad54;FINALIZADA;2,930425;-75,290124
Mayo;2047888;1635681;007249;LED;27,8;PRE;12;5;Se ha realizado el mantenimiento preventivo sobre la farola: 1635681;13/05/2026;13/05/2026;0;cuad54;FINALIZADA;2,930293;-75,290082
Mayo;2046189;1635685;018750;LED;27,8;PRE;13;5;Se ha realizado el mantenimiento preventivo sobre la farola: 1635685;12/05/2026;12/05/2026;0;cuad56;FINALIZADA;2,929677075;-75,28988597
Mayo;2048984;1635703;007719;LED;27,8;PRE;10;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1635703;13/05/2026;19/05/2026;6;cuad63;FINALIZADA;2,928508037;-75,292618
Mayo;2049560;1635719;065257;LED;46,3;PRE;12;3;Se ha realizado el mantenimiento preventivo sobre la farola: 1635719;14/05/2026;21/05/2026;7;cuad56;FINALIZADA;2,930648069;-75,292372
Mayo;2047969;1635720;007125;LED;27,8;PRE;11;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1635720;13/05/2026;13/05/2026;0;cuad54;FINALIZADA;2,929455029;-75,29278597
Mayo;2047939;1635721;008412;LED;27,8;PRE;11;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1635721;13/05/2026;13/05/2026;0;cuad54;FINALIZADA;2,929187075;-75,29271896
Mayo;2047898;1635722;007675;LED;27,8;PRE;11;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1635722;13/05/2026;13/05/2026;0;cuad54;FINALIZADA;2,929667058;-75,29290499
Mayo;2047950;1635723;008636;LED;27,8;PRE;12;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1635723;13/05/2026;13/05/2026;0;cuad54;FINALIZADA;2,929886064;-75,29298702
Mayo;2047936;1635744;008303;LED;27,8;PRE;16;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1635744;13/05/2026;13/05/2026;0;cuad54;FINALIZADA;2,932779077;-75,293761
Mayo;2047978;1635745;008430;LED;27,8;PRE;15;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1635745;13/05/2026;13/05/2026;0;cuad54;FINALIZADA;2,932544047;-75,29372404
