Mes;Incidencia;Farola;Sticker;Tecnologia;Potencia;Tipo;Crucero;Via;Descripción;Fecha Asignación;Hora Inicial;Fecha Finalización;Hora Final;Tiempo Hora;Operario;Estado;Latitud;Longitud
Enero;1952375;1630477;009005;LED;27,8;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: C.E;29/01/2026;9:22:00?a. m.;29/01/2026;9:22:00?a. m.;0;cuad56 ;FINALIZADA;2,935572048;-75,26609201
Enero;1937953;1630563;031681;LED;400;ACT;33;7;Se ha actuado sobre: Otros: C.E;09/01/2026;10:20:00?p. m.;09/01/2026;10:20:00?p. m.;0;cuad55 ;FINALIZADA;2,94712932;-75,29065301
Enero;1937954;1630564;031686;LED;400;ACT;33;7;Se ha actuado sobre: Otros: C.E;09/01/2026;10:21:00?p. m.;09/01/2026;10:21:00?p. m.;0;cuad55 ;FINALIZADA;2,94712932;-75,29065301
Enero;1937955;1630569;031682;LED;400;ACT;32;7;Se ha actuado sobre: Otros: C.E;09/01/2026;10:21:00?p. m.;09/01/2026;10:21:00?p. m.;0;cuad55 ;FINALIZADA;2,94662555;-75,29069155
Enero;1937956;1630570;031687;LED;400;ACT;32;7;Se ha actuado sobre: Otros: C.E;09/01/2026;10:22:00?p. m.;09/01/2026;10:22:00?p. m.;0;cuad55 ;FINALIZADA;2,94662555;-75,29069155
Enero;1940218;1630651;062523;LED;200;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: C.E CONTROL;14/01/2026;7:20:00?p. m.;14/01/2026;7:20:00?p. m.;0;cuad56 ;FINALIZADA;2,933458116;-75,28409704
Enero;1940217;1630652;062524;LED;200;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: C.E CONTROL;14/01/2026;7:20:00?p. m.;14/01/2026;7:20:00?p. m.;0;cuad56 ;FINALIZADA;2,933460106;-75,28409704
Enero;1940216;1630653;062526;LED;200;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: C.E CONTROL;14/01/2026;7:19:00?p. m.;14/01/2026;7:19:00?p. m.;0;cuad56 ;FINALIZADA;2,93363106;-75,284229
Enero;1940036;1630654;062519;LED;200;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: C E;14/01/2026;3:41:00?p. m.;14/01/2026;3:41:00?p. m.;0;cuad56 ;FINALIZADA;2,933631061;-75,28422603
Enero;1940215;1630655;062188;LED;200;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: C.E CONTROL;14/01/2026;7:18:00?p. m.;14/01/2026;7:18:00?p. m.;0;cuad56 ;FINALIZADA;2,933640044;-75,284123
Enero;1940214;1630656;062522;LED;200;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: C.E CONTROL;14/01/2026;7:17:00?p. m.;14/01/2026;7:17:00?p. m.;0;cuad56 ;FINALIZADA;2,933642034;-75,284123
Enero;1940219;1630657;062521;LED;200;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: C.E CONTROL;14/01/2026;7:21:00?p. m.;14/01/2026;7:21:00?p. m.;0;cuad56 ;FINALIZADA;2,933443075;-75,28418603
Enero;1940220;1630658;062520;LED;200;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: C.E CONTROL;14/01/2026;7:22:00?p. m.;14/01/2026;7:22:00?p. m.;0;cuad56 ;FINALIZADA;2,933441084;-75,28418801
Enero;1936936;1630757;062549;LED;200;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: C.E;08/01/2026;7:25:00?p. m.;08/01/2026;7:25:00?p. m.;0;cuad56 ;FINALIZADA;2,904712;-75,27178
Enero;1936958;1630791;031719;LED;200;ACT;70C;1A;Se ha actuado sobre: Otros: C.E;08/01/2026;6:46:00?p. m.;08/01/2026;6:46:00?p. m.;0;cuad54 ;FINALIZADA;2,904350034;-75,27206104
Enero;1933590;1630915;001041;LED;100;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: C.E;05/01/2026;6:52:00?p. m.;05/01/2026;6:52:00?p. m.;0;cuad54 ;FINALIZADA;2,948216;-75,297226
Enero;1933592;1630916;001038;LED;100;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: C.E;05/01/2026;6:54:00?p. m.;05/01/2026;6:54:00?p. m.;0;cuad54 ;FINALIZADA;2,948086;-75,29724
Enero;1945052;1630923;031673;LED;200;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: 1TIMER.C.E;20/01/2026;8:53:00?p. m.;20/01/2026;8:53:00?p. m.;0;cuad54 ;FINALIZADA;2,951123;-75,295721
Enero;1945053;1630924;031629;LED;200;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: 1TIMER.C.E;20/01/2026;8:55:00?p. m.;20/01/2026;8:55:00?p. m.;0;cuad54 ;FINALIZADA;2,9509;-75,295762
Enero;1945051;1630926;031699;LED;200;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: 1TIMER.C.E;20/01/2026;8:52:00?p. m.;20/01/2026;8:52:00?p. m.;0;cuad54 ;FINALIZADA;2,9509;-75,295762
Enero;1937535;1630927;C4151&C2-0320;METAL HALIDE;400;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: C E;09/01/2026;2:36:00?p. m.;09/01/2026;2:36:00?p. m.;0;cuad54 ;FINALIZADA;2,951087;-75,296311
Enero;1945054;1630932;031652;LED;200;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: 1TIMER.C.E;20/01/2026;8:57:00?p. m.;20/01/2026;8:57:00?p. m.;0;cuad54 ;FINALIZADA;2,951176;-75,296298
Enero;1945055;1630936;062118;LED;70;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: 1TIMER.C.E;20/01/2026;8:58:00?p. m.;20/01/2026;8:58:00?p. m.;0;cuad54 ;FINALIZADA;2,950875;-75,296185
Enero;1945056;1630944;031630;LED;200;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: 1TIMER.C.E;20/01/2026;8:59:00?p. m.;20/01/2026;8:59:00?p. m.;0;cuad54 ;FINALIZADA;2,951208;-75,296062
Enero;1945057;1630945;031623;LED;200;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: 1TIMER.C.E;20/01/2026;9:00:00?p. m.;20/01/2026;9:00:00?p. m.;0;cuad54 ;FINALIZADA;2,951208;-75,296062
Enero;1949951;1630955;021863;LED;37;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: CAMBIO.POSTE;26/01/2026;6:27:00?p. m.;26/01/2026;6:27:00?p. m.;0;cuad63;FINALIZADA;2,936851046;-75,259854
Enero;1941158;1631008;069313;LED;92,6;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: V.A;15/01/2026;7:09:00?p. m.;15/01/2026;7:09:00?p. m.;0;cuad57;FINALIZADA;2,96121645;-75,2989171
Enero;1941160;1631009;030472;LED;92,6;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: V.A;15/01/2026;7:10:00?p. m.;15/01/2026;7:10:00?p. m.;0;cuad57;FINALIZADA;2,96134546;-75,29887944
Enero;1941159;1631010;030271;LED;92,6;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: V.A;15/01/2026;7:10:00?p. m.;15/01/2026;7:10:00?p. m.;0;cuad57;FINALIZADA;2,96134546;-75,29887944
Enero;1940227;1631011;030463;LED;92,6;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: C E CONTROL;14/01/2026;8:06:00?p. m.;14/01/2026;8:06:00?p. m.;0;cuad56 ;FINALIZADA;2,96120182;-75,29913425
Enero;1940228;1631012;030466;LED;92,6;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: C E CONTROL;14/01/2026;8:07:00?p. m.;14/01/2026;8:07:00?p. m.;0;cuad56 ;FINALIZADA;2,96120182;-75,29913425
Enero;1940224;1631013;030479;LED;92,6;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: C.E CONTROL;14/01/2026;7:58:00?p. m.;14/01/2026;7:58:00?p. m.;0;cuad56 ;FINALIZADA;2,96134407;-75,29907536
Enero;1940223;1631014;030468;LED;92,6;ACT;CARRERA;CALLE;Se ha actuado sobre: Otros: C E CONTROL;14/01/2026;7:57:00?p. m.;14/01/2026;7:57:00?p. m.;0;cuad56 ;FINALIZADA;2,96134407;-75,29907536
