Mes;Incidencia;Farola;Sticker;Tecnologia;Potencia;Tipo;Crucero;Via;Descripción;Fecha Asignación;Fecha Finalización;Tiempo (Días);Operario;Estado;Latitud;Longitud
Mayo;2058500;1631180;031114;LED;100;PRE-PODAS;CARRERA;CALLE;Se ha realizado el mantenimiento preventivo sobre la farola: 1631180;21/05/2026;21/05/2026;0;cuad62-podas;FINALIZADA;2,947239052;-75,28702899
Mayo;2038230;1631248;D 1206;METAL HALIDE;400;PRE-PODAS;CARRERA;CALLE;Se ha realizado el mantenimiento preventivo sobre la farola: 1631248;04/05/2026;04/05/2026;0;cuad62-podas;FINALIZADA;2,946953;-75,237497
Mayo;2045876;1634983;067664;LED;74,1;PRE-PODAS;76;2;Se ha realizado el mantenimiento preventivo sobre la farola: 1634983;11/05/2026;12/05/2026;1;cuad62-podas;FINALIZADA;2,970312;-75,28925
Mayo;2057045;1635188;033689;LED;27,8;PRE-PODAS;41;25;Se ha realizado el mantenimiento preventivo sobre la farola: 1635188;20/05/2026;21/05/2026;1;cuad62-podas;FINALIZADA;2,955664;-75,27657
Mayo;2057008;1635234;068526;LED;106,5;PRE-PODAS;6A;CL 26 CON CRA 6B;Se ha realizado el mantenimiento preventivo sobre la farola: 1635234;20/05/2026;20/05/2026;0;cuad62-podas;FINALIZADA;2,94236023;-75,29175558
Mayo;2062186;1635842;043264;LED;27,8;PRE-PODAS;18A;19;Se ha realizado el mantenimiento preventivo sobre la farola: 1635842;26/05/2026;26/05/2026;0;cuad62-podas;FINALIZADA;2,938318;-75,276722
Mayo;2038274;1637071;050327;LED;27,8;PRE-PODAS;20B;52;Se ha realizado el mantenimiento preventivo sobre la farola: 1637071;04/05/2026;04/05/2026;0;cuad62-podas;FINALIZADA;2,942874037;-75,24855901
Mayo;2040328;1638687;021848;LED;37;PRE-PODAS;CARRERA;CALLE;Se ha realizado el mantenimiento preventivo sobre la farola: 1638687;05/05/2026;05/05/2026;0;cuad62-podas;FINALIZADA;2,936597041;-75,26009798
Mayo;2060792;1640284;026133;LED;60,2;PRE-PODAS;31;1;Se ha realizado el mantenimiento preventivo sobre la farola: 1640284;25/05/2026;25/05/2026;0;cuad62-podas;FINALIZADA;2,946536634;-75,29804453
Mayo;2060789;1640286;030397;LED;60,2;PRE-PODAS;33;1;Se ha realizado el mantenimiento preventivo sobre la farola: 1640286;25/05/2026;25/05/2026;0;cuad62-podas;FINALIZADA;2,947083072;-75,29803612
